company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,total_seats,total_passengers,scheduled_ground_time_minutes,total_children,actual_ground_time_minutes,basic_economy_pax,time_pressure_ratio,pnr_count,minimum_turn_minutes,load_factor,children_ratio,basic_economy_ratio,ground_time_variance,avg_party_size,ground_time_efficiency
OO,4792,2025-08-04,ORD,ROA,0.3929408423856535,76,65,42,1,34,7,-0.1904761904761904,55,34,0.8552631578947368,0.0153846153846153,0.1076923076923077,-0.1904761904761904,1.181818181818182,1.2352941176470589
UA,920,2025-08-03,ORD,LHR,0.4018140632344734,167,171,235,5,229,0,-0.3829787234042553,99,145,1.0239520958083832,0.0292397660818713,0.0,-0.025531914893617,1.7272727272727273,1.6206896551724137
UA,1776,2025-08-10,ORD,PHL,0.402426892893897,166,180,76,5,69,18,-0.3289473684210526,133,51,1.0843373493975903,0.0277777777777777,0.1,-0.0921052631578947,1.3533834586466165,1.4901960784313726
OO,5790,2025-08-06,ORD,CRW,0.4061329455467842,50,55,223,2,38,2,-0.8699551569506726,38,29,1.1,0.0363636363636363,0.0363636363636363,-0.8295964125560538,1.4473684210526316,7.689655172413793
UA,1398,2025-08-05,ORD,ATL,0.3857748977585627,166,136,75,3,72,11,-0.32,112,51,0.8192771084337349,0.0220588235294117,0.0808823529411764,-0.04,1.2142857142857142,1.4705882352941178
OO,5470,2025-08-07,ORD,GEG,0.4006671091679515,76,73,49,1,44,9,-0.3061224489795918,39,34,0.9605263157894736,0.0136986301369863,0.1232876712328767,-0.1020408163265306,1.871794871794872,1.4411764705882353
UA,374,2025-08-15,ORD,MSP,0.391518139246964,126,128,54,1,41,12,-0.2037037037037037,105,43,1.0158730158730158,0.0078125,0.09375,-0.2407407407407407,1.2190476190476192,1.255813953488372
UA,1577,2025-08-15,ORD,SFO,0.415330100845305,234,261,123,10,134,22,-0.4634146341463415,171,66,1.1153846153846154,0.0383141762452107,0.0842911877394636,0.089430894308943,1.5263157894736843,1.8636363636363635
UA,881,2025-08-03,ORD,HND,0.4565034974896143,318,370,365,16,407,0,-0.5753424657534246,218,155,1.1635220125786163,0.0432432432432432,0.0,0.1150684931506849,1.6972477064220184,2.3548387096774195
UA,2006,2025-08-09,ORD,GUA,0.5257921716671048,166,188,90,9,126,45,-0.2777777777777778,114,65,1.1325301204819278,0.0478723404255319,0.2393617021276596,0.4,1.649122807017544,1.3846153846153846
UA,307,2025-08-14,ORD,COS,0.4143915779216625,179,147,94,7,85,22,-0.4042553191489361,94,56,0.8212290502793296,0.0476190476190476,0.1496598639455782,-0.0957446808510638,1.5638297872340423,1.6785714285714286
UA,1538,2025-08-08,ORD,SAV,0.4510083211538756,126,188,100,13,108,2,-0.57,85,43,1.492063492063492,0.0691489361702127,0.0106382978723404,0.08,2.211764705882353,2.3255813953488373
UA,1006,2025-08-02,ORD,LGA,0.4572000245331874,166,199,63,11,55,26,-0.1904761904761904,126,51,1.1987951807228916,0.0552763819095477,0.1306532663316583,-0.1269841269841269,1.5793650793650793,1.2352941176470589
G7,4395,2025-08-14,ORD,TVC,0.3878208531637721,50,51,132,1,124,1,-0.7803030303030303,36,29,1.02,0.0196078431372549,0.0196078431372549,-0.0606060606060606,1.4166666666666667,4.551724137931035
UA,1538,2025-08-06,ORD,SAV,0.4096417602708374,126,116,95,3,81,10,-0.5473684210526316,77,43,0.9206349206349206,0.0258620689655172,0.0862068965517241,-0.1473684210526315,1.5064935064935066,2.2093023255813957
UA,2138,2025-08-08,ORD,LGA,0.407114020902058,166,167,62,3,87,32,-0.1774193548387097,127,51,1.0060240963855422,0.0179640718562874,0.1916167664670658,0.4032258064516129,1.31496062992126,1.2156862745098038
G7,4481,2025-08-15,ORD,GRR,0.3803478671957412,50,41,644,0,632,7,-0.9549689440993788,36,29,0.82,0.0,0.1707317073170731,-0.0186335403726708,1.1388888888888888,22.20689655172414
OO,5108,2025-08-14,ORD,SLN,0.4037772698200949,50,47,85,2,82,2,-0.6588235294117647,27,29,0.94,0.0425531914893617,0.0425531914893617,-0.0352941176470588,1.7407407407407407,2.931034482758621
YX,3568,2025-08-15,ORD,YYZ,0.3876934703560483,76,83,75,1,64,5,-0.44,64,42,1.0921052631578947,0.0120481927710843,0.0602409638554216,-0.1466666666666666,1.296875,1.7857142857142858
OO,4739,2025-08-03,ORD,GRB,0.4160598774025764,50,61,69,3,63,6,-0.5797101449275363,44,29,1.22,0.0491803278688524,0.0983606557377049,-0.0869565217391304,1.3863636363636365,2.3793103448275863
UA,664,2025-08-02,ORD,LGA,0.4557030184929522,166,198,400,11,59,34,-0.8725,127,51,1.1927710843373494,0.0555555555555555,0.1717171717171717,-0.8525,1.559055118110236,7.84313725490196
OO,5517,2025-08-04,ORD,PVD,0.3806461572418597,76,78,87,2,86,0,-0.6091954022988506,64,34,1.0263157894736843,0.0256410256410256,0.0,-0.0114942528735632,1.21875,2.5588235294117645
UA,1156,2025-08-08,ORD,MSY,0.4438465967887187,179,215,62,12,61,37,-0.0967741935483871,128,56,1.2011173184357542,0.055813953488372,0.1720930232558139,-0.0161290322580645,1.6796875,1.1071428571428572
G7,4387,2025-08-06,ORD,CID,0.4135357003802424,50,67,75,4,73,0,-0.6133333333333333,41,29,1.34,0.0597014925373134,0.0,-0.0266666666666666,1.6341463414634143,2.586206896551724
UA,1361,2025-08-11,ORD,STL,0.4145727155330114,126,137,60,6,52,13,-0.2833333333333333,104,43,1.0873015873015872,0.0437956204379562,0.0948905109489051,-0.1333333333333333,1.3173076923076923,1.3953488372093024
UA,2323,2025-08-03,ORD,MCO,0.4630451637131674,200,297,97,24,99,14,-0.3608247422680412,125,62,1.485,0.0808080808080808,0.0471380471380471,0.0206185567010309,2.376,1.564516129032258
OO,5229,2025-08-13,ORD,ILM,0.388611817909441,76,62,47,2,39,7,-0.2765957446808511,45,34,0.8157894736842105,0.032258064516129,0.1129032258064516,-0.1702127659574468,1.3777777777777778,1.3823529411764706
YX,3700,2025-08-02,ORD,BNA,0.3872176079142641,76,80,5,1,33,13,5.8,59,34,1.0526315789473684,0.0125,0.1625,5.6,1.3559322033898304,0.1470588235294117
G7,4610,2025-08-15,ORD,XNA,0.3891866153992646,50,52,59,2,71,2,-0.5084745762711864,38,29,1.04,0.0384615384615384,0.0384615384615384,0.2033898305084746,1.368421052631579,2.034482758620689
