company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,time_pressure_ratio,ground_time_variance,ground_time_efficiency,total_passengers,total_children,basic_economy_pax,stroller_users,lap_children,pnr_count,load_factor,children_ratio,basic_economy_ratio,avg_party_size,wheelchair_requests,unaccompanied_minors,total_ssrs,ssr_intensity,aircraft_size_category,departure_country,arrival_country,is_international,from_major_hub,to_major_hub,is_express,difficulty_score
OO,4792,2025-08-04,ORD,ROA,2025-08-04T17:57:00Z,2025-08-04T21:04:00Z,2025-08-04T18:04:00Z,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,7.0,-0.19047619047619047,-0.19047619047619047,1.2352941176470589,65,1,7,0,0,55,0.8552631578947368,0.015384615384615385,0.1076923076923077,1.1818181818181819,14,0,14,0.2153846153846154,Small,US,US,0,1,0,1,0.3929408423856535
UA,920,2025-08-03,ORD,LHR,2025-08-03T18:05:00Z,2025-08-04T08:20:00Z,2025-08-03T18:27:00Z,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,22.0,-0.3829787234042553,-0.02553191489361702,1.6206896551724137,171,5,0,0,1,99,1.0239520958083832,0.029239766081871343,0.0,1.7272727272727273,5,1,6,0.03508771929824561,Medium,US,GB,1,1,0,0,0.4018140632344734
UA,1776,2025-08-10,ORD,PHL,2025-08-10T18:20:00Z,2025-08-10T21:35:00Z,2025-08-10T20:11:00Z,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,111.0,-0.32894736842105265,-0.09210526315789473,1.4901960784313726,180,5,18,2,0,133,1.0843373493975903,0.027777777777777776,0.1,1.3533834586466165,0,1,1,0.005555555555555556,Medium,US,US,0,1,0,0,0.40242689289389705
OO,5790,2025-08-06,ORD,CRW,2025-08-06T18:20:00Z,2025-08-06T21:04:00Z,2025-08-06T20:05:00Z,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,105.0,-0.8699551569506726,-0.8295964125560538,7.689655172413793,55,2,2,0,0,38,1.1,0.03636363636363636,0.03636363636363636,1.4473684210526316,8,0,8,0.14545454545454545,Small,US,US,0,1,0,1,0.40613294554678425
UA,1398,2025-08-05,ORD,ATL,2025-08-05T18:20:00Z,2025-08-05T21:29:00Z,2025-08-05T18:16:00Z,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,-4.0,-0.32,-0.04,1.4705882352941178,136,3,11,0,0,112,0.8192771084337349,0.022058823529411766,0.08088235294117647,1.2142857142857142,10,0,10,0.07352941176470588,Medium,US,US,0,1,0,0,0.3857748977585627
OO,5470,2025-08-07,ORD,GEG,2025-08-07T08:40:00Z,2025-08-07T10:56:00Z,2025-08-07T08:36:00Z,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,-4.0,-0.30612244897959184,-0.10204081632653061,1.4411764705882353,73,1,9,0,1,39,0.9605263157894737,0.0136986301369863,0.1232876712328767,1.8717948717948718,0,0,0,0.0,Small,US,US,0,1,0,1,0.40066710916795156
UA,374,2025-08-15,ORD,MSP,2025-08-15T16:10:00Z,2025-08-15T17:49:00Z,2025-08-15T16:38:00Z,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,28.0,-0.2037037037037037,-0.24074074074074073,1.255813953488372,128,1,12,0,1,105,1.0158730158730158,0.0078125,0.09375,1.2190476190476192,11,0,11,0.0859375,Medium,US,US,0,1,0,0,0.391518139246964
UA,1577,2025-08-15,ORD,SFO,2025-08-15T14:40:00Z,2025-08-15T17:26:00Z,2025-08-15T14:39:00Z,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,-1.0,-0.4634146341463415,0.08943089430894309,1.8636363636363635,261,10,22,3,1,171,1.1153846153846154,0.038314176245210725,0.0842911877394636,1.5263157894736843,5,0,5,0.019157088122605363,Large,US,US,0,1,0,0,0.41533010084530503
UA,881,2025-08-03,ORD,HND,2025-08-03T12:50:00Z,2025-08-04T15:55:00Z,2025-08-03T13:15:00Z,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,25.0,-0.5753424657534246,0.11506849315068493,2.3548387096774195,370,16,0,1,0,218,1.1635220125786163,0.043243243243243246,0.0,1.6972477064220184,45,0,45,0.12162162162162163,Large,US,JP,1,1,0,0,0.4565034974896143
UA,2006,2025-08-09,ORD,GUA,2025-08-09T09:14:00Z,2025-08-09T12:45:00Z,2025-08-09T09:24:00Z,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,10.0,-0.2777777777777778,0.4,1.3846153846153846,188,9,45,2,2,114,1.1325301204819278,0.047872340425531915,0.2393617021276596,1.6491228070175439,51,4,55,0.2925531914893617,Medium,US,GT,1,1,0,0,0.5257921716671048
